  type  latency
     1     1.00
     1     3.00
     1     5.00
     1     7.00
     1     9.00
     1    11.00
     1    13.00
     1    15.00
     1    17.00
     1    19.00
     1    21.00
     1    23.00
     1    25.00
     1    27.00
     1    29.00
     1    31.00
     1    33.00
     1    35.00
     1    37.00
     1    39.00
     1    41.00
     1    43.00
     1    45.00
     1    47.00
     1    49.00
     1    51.00
     1    53.00
     1    55.00
     1    57.00
     1    59.00
     1    61.00
     1    63.00
     1    65.00
     1    67.00
     1    69.00
     1    71.00
     1    73.00
     1    75.00
     1    77.00
     1    79.00
     1    81.00
     1    83.00
     1    85.00
     1    87.00
     1    89.00
     1    91.00
     1    93.00
     1    95.00
     1    97.00
     1    99.00
     1   101.00
     1   103.00
     1   105.00
     1   107.00
     1   109.00
     1   111.00
     1   113.00
     1   115.00
     1   117.00
     1   119.00
     1   121.00
     1   123.00
     1   125.00
     1   127.00
     1   129.00
     1   131.00
     1   133.00
     1   135.00
     1   137.00
     1   139.00
     1   141.00
     1   143.00
     1   145.00
     1   147.00
     1   149.00
     1   151.00
     1   153.00
     1   155.00
     1   157.00
     1   159.00
     1   161.00
     1   163.00
     1   165.00
     1   167.00
     1   169.00
     1   171.00
     1   173.00
     1   175.00
     1   177.00
     1   179.00
     1   181.00
     1   183.00
     1   185.00
     1   187.00
     1   189.00
     1   191.00
     1   193.00
     1   195.00
     1   197.00
     1   199.00
     1   201.00
     1   203.00
     1   205.00
     1   207.00
     1   209.00
     1   211.00
     1   213.00
     1   215.00
     1   217.00
     1   219.00
     1   221.00
     1   223.00
     1   225.00
     1   227.00
     1   229.00
     1   231.00
     1   233.00
     1   235.00
     1   237.00
     1   239.00
     1   241.00
     1   243.00
     1   245.00
     1   247.00
     1   249.00
     1   251.00
     1   253.00
     1   255.00
     1   257.00
     1   259.00
     1   261.00
     1   263.00
     1   265.00
     1   267.00
     1   269.00
     1   271.00
     1   273.00
     1   275.00
     1   277.00
     1   279.00
     1   281.00
     1   283.00
     1   285.00
     1   287.00
     1   289.00
     1   291.00
     1   293.00
     1   295.00
     1   297.00
